combo_index,min_rsi_a,overextension_mode,min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
228,60.0,close_above_ubb,90.0,6,2,8.0,680,321,359,47.21,645.9,0.95,1.097,756.9,0.95
237,60.0,close_above_ubb,95.0,6,2,8.0,680,321,359,47.21,645.9,0.95,1.097,756.9,0.95
218,60.0,close_above_ubb,85.0,6,2,5.0,677,322,355,47.56,660.0,0.97,1.096,723.0,0.97
227,60.0,close_above_ubb,90.0,6,2,5.0,677,322,355,47.56,660.0,0.97,1.096,723.0,0.97
236,60.0,close_above_ubb,95.0,6,2,5.0,677,322,355,47.56,660.0,0.97,1.096,723.0,0.97
225,60.0,close_above_ubb,85.0,10,2,8.0,680,323,357,47.5,633.8,0.93,1.095,777.7,0.93
234,60.0,close_above_ubb,90.0,10,2,8.0,680,323,357,47.5,633.8,0.93,1.095,777.7,0.93
243,60.0,close_above_ubb,95.0,10,2,8.0,680,323,357,47.5,633.8,0.93,1.095,777.7,0.93
142,58.0,close_above_ubb,85.0,10,2,3.0,715,344,371,48.11,708.9,0.99,1.094,805.6,0.99
151,58.0,close_above_ubb,90.0,10,2,3.0,715,344,371,48.11,708.9,0.99,1.094,805.6,0.99
160,58.0,close_above_ubb,95.0,10,2,3.0,715,344,371,48.11,708.9,0.99,1.094,805.6,0.99
224,60.0,close_above_ubb,85.0,10,2,5.0,677,323,354,47.71,646.5,0.95,1.094,751.4,0.95
233,60.0,close_above_ubb,90.0,10,2,5.0,677,323,354,47.71,646.5,0.95,1.094,751.4,0.95
242,60.0,close_above_ubb,95.0,10,2,5.0,677,323,354,47.71,646.5,0.95,1.094,751.4,0.95
168,60.0,touch_only,85.0,8,2,8.0,1209,564,645,46.65,1154.8,0.96,1.093,989.8,0.96
177,60.0,touch_only,90.0,8,2,8.0,1209,564,645,46.65,1154.8,0.96,1.093,989.8,0.96
186,60.0,touch_only,95.0,8,2,8.0,1209,564,645,46.65,1154.8,0.96,1.093,989.8,0.96
195,60.0,high_above_ubb,85.0,8,2,8.0,1209,564,645,46.65,1154.8,0.96,1.093,989.8,0.96
204,60.0,high_above_ubb,90.0,8,2,8.0,1209,564,645,46.65,1154.8,0.96,1.093,989.8,0.96
213,60.0,high_above_ubb,95.0,8,2,8.0,1209,564,645,46.65,1154.8,0.96,1.093,989.8,0.96
87,58.0,touch_only,85.0,8,2,8.0,1344,625,719,46.5,1270.8,0.95,1.091,1225.9,0.95
96,58.0,touch_only,90.0,8,2,8.0,1344,625,719,46.5,1270.8,0.95,1.091,1225.9,0.95
105,58.0,touch_only,95.0,8,2,8.0,1344,625,719,46.5,1270.8,0.95,1.091,1225.9,0.95
114,58.0,high_above_ubb,85.0,8,2,8.0,1344,625,719,46.5,1270.8,0.95,1.091,1225.9,0.95
123,58.0,high_above_ubb,90.0,8,2,8.0,1344,625,719,46.5,1270.8,0.95,1.091,1225.9,0.95
132,58.0,high_above_ubb,95.0,8,2,8.0,1344,625,719,46.5,1270.8,0.95,1.091,1225.9,0.95
90,58.0,touch_only,85.0,10,2,8.0,1344,624,720,46.43,1274.3,0.95,1.091,1226.1,0.95
99,58.0,touch_only,90.0,10,2,8.0,1344,624,720,46.43,1274.3,0.95,1.091,1226.1,0.95
108,58.0,touch_only,95.0,10,2,8.0,1344,624,720,46.43,1274.3,0.95,1.091,1226.1,0.95
117,58.0,high_above_ubb,85.0,10,2,8.0,1344,624,720,46.43,1274.3,0.95,1.091,1226.1,0.95
126,58.0,high_above_ubb,90.0,10,2,8.0,1344,624,720,46.43,1274.3,0.95,1.091,1226.1,0.95
135,58.0,high_above_ubb,95.0,10,2,8.0,1344,624,720,46.43,1274.3,0.95,1.091,1226.1,0.95
165,60.0,touch_only,85.0,6,2,8.0,1209,561,648,46.4,1133.5,0.94,1.091,980.1,0.94
174,60.0,touch_only,90.0,6,2,8.0,1209,561,648,46.4,1133.5,0.94,1.091,980.1,0.94
183,60.0,touch_only,95.0,6,2,8.0,1209,561,648,46.4,1133.5,0.94,1.091,980.1,0.94
192,60.0,high_above_ubb,85.0,6,2,8.0,1209,561,648,46.4,1133.5,0.94,1.091,980.1,0.94
201,60.0,high_above_ubb,90.0,6,2,8.0,1209,561,648,46.4,1133.5,0.94,1.091,980.1,0.94
210,60.0,high_above_ubb,95.0,6,2,8.0,1209,561,648,46.4,1133.5,0.94,1.091,980.1,0.94
139,58.0,close_above_ubb,85.0,8,2,3.0,715,345,370,48.25,671.3,0.94,1.09,805.3,0.94
148,58.0,close_above_ubb,90.0,8,2,3.0,715,345,370,48.25,671.3,0.94,1.09,805.3,0.94
157,58.0,close_above_ubb,95.0,8,2,3.0,715,345,370,48.25,671.3,0.94,1.09,805.3,0.94
84,58.0,touch_only,85.0,6,2,8.0,1344,622,722,46.28,1249.7,0.93,1.09,1225.3,0.93
93,58.0,touch_only,90.0,6,2,8.0,1344,622,722,46.28,1249.7,0.93,1.09,1225.3,0.93
102,58.0,touch_only,95.0,6,2,8.0,1344,622,722,46.28,1249.7,0.93,1.09,1225.3,0.93
111,58.0,high_above_ubb,85.0,6,2,8.0,1344,622,722,46.28,1249.7,0.93,1.09,1225.3,0.93
120,58.0,high_above_ubb,90.0,6,2,8.0,1344,622,722,46.28,1249.7,0.93,1.09,1225.3,0.93
129,58.0,high_above_ubb,95.0,6,2,8.0,1344,622,722,46.28,1249.7,0.93,1.09,1225.3,0.93
171,60.0,touch_only,85.0,10,2,8.0,1209,563,646,46.57,1124.0,0.93,1.09,989.8,0.93
180,60.0,touch_only,90.0,10,2,8.0,1209,563,646,46.57,1124.0,0.93,1.09,989.8,0.93
189,60.0,touch_only,95.0,10,2,8.0,1209,563,646,46.57,1124.0,0.93,1.09,989.8,0.93
198,60.0,high_above_ubb,85.0,10,2,8.0,1209,563,646,46.57,1124.0,0.93,1.09,989.8,0.93
207,60.0,high_above_ubb,90.0,10,2,8.0,1209,563,646,46.57,1124.0,0.93,1.09,989.8,0.93
216,60.0,high_above_ubb,95.0,10,2,8.0,1209,563,646,46.57,1124.0,0.93,1.09,989.8,0.93
136,58.0,close_above_ubb,85.0,6,2,3.0,715,342,373,47.83,642.9,0.9,1.086,827.7,0.9
145,58.0,close_above_ubb,90.0,6,2,3.0,715,342,373,47.83,642.9,0.9,1.086,827.7,0.9
154,58.0,close_above_ubb,95.0,6,2,3.0,715,342,373,47.83,642.9,0.9,1.086,827.7,0.9
144,58.0,close_above_ubb,85.0,10,2,8.0,720,341,379,47.36,597.2,0.83,1.084,858.1,0.83
153,58.0,close_above_ubb,90.0,10,2,8.0,720,341,379,47.36,597.2,0.83,1.084,858.1,0.83
162,58.0,close_above_ubb,95.0,10,2,8.0,720,341,379,47.36,597.2,0.83,1.084,858.1,0.83
143,58.0,close_above_ubb,85.0,10,2,5.0,717,341,376,47.56,609.9,0.85,1.083,831.8,0.85
152,58.0,close_above_ubb,90.0,10,2,5.0,717,341,376,47.56,609.9,0.85,1.083,831.8,0.85
161,58.0,close_above_ubb,95.0,10,2,5.0,717,341,376,47.56,609.9,0.85,1.083,831.8,0.85
141,58.0,close_above_ubb,85.0,8,2,8.0,720,342,378,47.5,593.7,0.82,1.083,858.1,0.82
150,58.0,close_above_ubb,90.0,8,2,8.0,720,342,378,47.5,593.7,0.82,1.083,858.1,0.82
159,58.0,close_above_ubb,95.0,8,2,8.0,720,342,378,47.5,593.7,0.82,1.083,858.1,0.82
166,60.0,touch_only,85.0,8,2,3.0,1196,565,631,47.24,1074.5,0.9,1.082,991.8,0.9
175,60.0,touch_only,90.0,8,2,3.0,1196,565,631,47.24,1074.5,0.9,1.082,991.8,0.9
184,60.0,touch_only,95.0,8,2,3.0,1196,565,631,47.24,1074.5,0.9,1.082,991.8,0.9
193,60.0,high_above_ubb,85.0,8,2,3.0,1196,565,631,47.24,1074.5,0.9,1.082,991.8,0.9
202,60.0,high_above_ubb,90.0,8,2,3.0,1196,565,631,47.24,1074.5,0.9,1.082,991.8,0.9
211,60.0,high_above_ubb,95.0,8,2,3.0,1196,565,631,47.24,1074.5,0.9,1.082,991.8,0.9
140,58.0,close_above_ubb,85.0,8,2,5.0,717,342,375,47.7,606.4,0.85,1.082,831.8,0.85
149,58.0,close_above_ubb,90.0,8,2,5.0,717,342,375,47.7,606.4,0.85,1.082,831.8,0.85
158,58.0,close_above_ubb,95.0,8,2,5.0,717,342,375,47.7,606.4,0.85,1.082,831.8,0.85
138,58.0,close_above_ubb,85.0,6,2,8.0,720,339,381,47.08,575.2,0.8,1.081,837.3,0.8
147,58.0,close_above_ubb,90.0,6,2,8.0,720,339,381,47.08,575.2,0.8,1.081,837.3,0.8
156,58.0,close_above_ubb,95.0,6,2,8.0,720,339,381,47.08,575.2,0.8,1.081,837.3,0.8
169,60.0,touch_only,85.0,10,2,3.0,1196,564,632,47.16,1049.8,0.88,1.08,1001.0,0.88
178,60.0,touch_only,90.0,10,2,3.0,1196,564,632,47.16,1049.8,0.88,1.08,1001.0,0.88
187,60.0,touch_only,95.0,10,2,3.0,1196,564,632,47.16,1049.8,0.88,1.08,1001.0,0.88
196,60.0,high_above_ubb,85.0,10,2,3.0,1196,564,632,47.16,1049.8,0.88,1.08,1001.0,0.88
205,60.0,high_above_ubb,90.0,10,2,3.0,1196,564,632,47.16,1049.8,0.88,1.08,1001.0,0.88
214,60.0,high_above_ubb,95.0,10,2,3.0,1196,564,632,47.16,1049.8,0.88,1.08,1001.0,0.88
163,60.0,touch_only,85.0,6,2,3.0,1196,562,634,46.99,1043.9,0.87,1.08,1001.2,0.87
172,60.0,touch_only,90.0,6,2,3.0,1196,562,634,46.99,1043.9,0.87,1.08,1001.2,0.87
181,60.0,touch_only,95.0,6,2,3.0,1196,562,634,46.99,1043.9,0.87,1.08,1001.2,0.87
190,60.0,high_above_ubb,85.0,6,2,3.0,1196,562,634,46.99,1043.9,0.87,1.08,1001.2,0.87
199,60.0,high_above_ubb,90.0,6,2,3.0,1196,562,634,46.99,1043.9,0.87,1.08,1001.2,0.87
208,60.0,high_above_ubb,95.0,6,2,3.0,1196,562,634,46.99,1043.9,0.87,1.08,1001.2,0.87
137,58.0,close_above_ubb,85.0,6,2,5.0,717,340,377,47.42,589.3,0.82,1.08,803.4,0.82
146,58.0,close_above_ubb,90.0,6,2,5.0,717,340,377,47.42,589.3,0.82,1.08,803.4,0.82
155,58.0,close_above_ubb,95.0,6,2,5.0,717,340,377,47.42,589.3,0.82,1.08,803.4,0.82
88,58.0,touch_only,85.0,10,2,3.0,1329,623,706,46.88,1165.1,0.88,1.079,1264.6,0.88
