combo_index,min_rsi_a,require_close_above_ubb,min_bb_touch_strength_a,min_candle_rejection_b,min_volume_ratio_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
125,60.0,False,0.6,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
126,60.0,True,0.6,0.6,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
127,60.0,False,0.6,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
128,60.0,True,0.6,0.6,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
137,65.0,False,0.0,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
138,65.0,True,0.0,0.2,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
139,65.0,False,0.0,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
141,65.0,False,0.0,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
140,65.0,True,0.0,0.2,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
143,65.0,False,0.0,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
142,65.0,True,0.0,0.2,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
144,65.0,True,0.0,0.2,1.5,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
145,65.0,False,0.0,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
147,65.0,False,0.0,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
146,65.0,True,0.0,0.4,0.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
148,65.0,True,0.0,0.4,1.0,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
149,65.0,False,0.0,0.4,1.2,8,2,5.0,0,0,0,0.0,0.0,0.0,,0.0,0.0
