combo_index,h4_min_rsi_a,h4_overextension_mode,h4_min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,use_d1_filters,d1_min_rsi,d1_min_bb_position,d1_require_close_above_ubb,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
19,55,touch_only,85,10,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
29,55,touch_only,85,8,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
30,55,touch_only,85,8,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
31,55,touch_only,85,10,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
32,55,touch_only,85,10,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
33,55,touch_only,85,8,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
34,55,touch_only,85,8,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
35,55,touch_only,85,10,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
36,55,touch_only,85,10,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
45,55,touch_only,85,8,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
47,55,touch_only,85,10,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
46,55,touch_only,85,8,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
48,55,touch_only,85,10,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
49,55,touch_only,85,8,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
50,55,touch_only,85,8,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
51,55,touch_only,85,10,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
52,55,touch_only,85,10,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
65,55,close_above_ubb,85,8,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
66,55,close_above_ubb,85,8,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
67,55,close_above_ubb,85,10,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
68,55,close_above_ubb,85,10,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
69,55,close_above_ubb,85,8,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
70,55,close_above_ubb,85,8,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
71,55,close_above_ubb,85,10,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
72,55,close_above_ubb,85,10,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
82,55,close_above_ubb,85,8,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
81,55,close_above_ubb,85,8,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
83,55,close_above_ubb,85,10,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
84,55,close_above_ubb,85,10,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
85,55,close_above_ubb,85,8,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
86,55,close_above_ubb,85,8,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
87,55,close_above_ubb,85,10,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
88,55,close_above_ubb,85,10,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
97,55,close_above_ubb,85,8,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
98,55,close_above_ubb,85,8,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
100,55,close_above_ubb,85,10,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
99,55,close_above_ubb,85,10,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
101,55,close_above_ubb,85,8,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
102,55,close_above_ubb,85,8,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
103,55,close_above_ubb,85,10,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
104,55,close_above_ubb,85,10,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
117,58,touch_only,85,8,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
118,58,touch_only,85,8,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
